Year,January ,February,March,April,May,June,July,August,September,October,November,December,Totals 
1988,37269,41426,42940,38565,35307,35745,40125,46080,36534,42711,34885,35963,467550
1989,34687,37618,39216,36316,32915,37408,39329,44700,34618,42529,33603,34845,447784
1990,33301,34714,35363,33334,31658,34545,37807,43648,35750,40898,31887,32845,425750
1991,31675,31024,29932,32373,29597,33409,37898,41023,34062,40657,29431,34265,405346
1992,29725,33492,33075,29249,30166,37560,43584,48460,38160,39048,30087,31557,424163
1993,29827,30685,32770,32596,30161,34896,37093,43388,35694,40605,31960,30659,410334
1994,29455,34662,33672,34745,32390,34991,41203,45827,38705,45115,34629,36081,441475
1995,33547,35059,35540,33669,32333,35977,37560,41417,33827,39661,31598,31047,421235
1996,30723,36565,36356,34927,32097,34865,35740,40348,33181,38932,28630,32324,414688
1997,30643,34642,33884,35361,31814,35656,40578,44322,36177,41918,31871,35068,431934
1998,30992,35191,36523,36162,33571,36202,39950,44423,37011,42411,33369,33334,439139
1999,32613,34377,35664,35952,32723,36024,40411,43952,35431,42126,33503,32779,435555
2000,31342,35601,36252,35781,32480,35383,37462,40253,36989,49316,40364,40359,451582
2001,40429,42924,45429,47045,43939,46019,51376,57755,30882,43314,34769,36290,520171
2002,36904,42147,43643,46957,42202,46094,52489,56386,44477,52134,40859,46128,550420
2003,42253,40973,44461,42282,40999,46131,50308,53726,45340,53720,43376,46481,550050
2004,44936,49395,49788,49448,44519,53346,58934,65264,51443,65441,51631,50653,634798
2005,50981,55413,57525,57448,53013,58033,66383,66043,55051,64934,52307,54454,691585
2006,53219,54003,60089,55794,52330,56325,67302,64774,52335,65032,55228,54137,690568
2007,54643,51231,58597,60728,55496,58429,67704,68922,57621,65670,54213,54141,707395
2008,56751,57216,60116,59478,58166,65845,79154,79304,63544,69556,52516,57375,759021
2009,53433,57047,61992,56479,55176,57672,73995,75460,56100,62052,48137,50798,708341
2010,50490,46710,51823,56273,51058,54572,60153,62839,53492,63473,50875,49522,651280
2011,48746,46600,52206,50211,50774,54792,62931,63860,55103,61092,50279,51601,648195
2012,47388,49226,54871,51642,51309,53491,59740,59557,50273,54916,47126,44065,623604
2013,46256,44063,49605,46804,48058,54039,58027,61325,54487,58359,46967,47013,616006
